file_names,stations
453025215.0017.2024.06.22.00.00.00.000.E.miniseed,25215
453024708.0001.2024.06.07.16.07.42.000.E.miniseed,24708
453024702.0025.2024.07.01.00.00.00.000.E.miniseed,24702
453024510.0008.2024.06.12.00.00.00.000.E.miniseed,24510
453024708.0014.2024.06.20.00.00.00.000.E.miniseed,24708
453025215.0021.2024.06.25.00.00.00.000.E.miniseed,25215
453025009.0018.2024.06.24.00.00.00.000.E.miniseed,25009
453024704.0008.2024.06.13.00.00.00.000.E.miniseed,24704
453025088.0021.2024.06.26.00.00.00.000.E.miniseed,25088
453025226.0012.2024.06.17.00.00.00.000.E.miniseed,25226
453025089.0001.2024.06.05.19.04.22.000.E.miniseed,25089
453024708.0028.2024.07.04.00.00.00.000.E.miniseed,24708
453024645.0019.2024.06.24.00.00.00.000.E.miniseed,24645
453024928.0014.2024.06.19.00.00.00.000.E.miniseed,24928
453024625.0016.2024.06.20.00.00.00.000.E.miniseed,24625
453024718.0007.2024.06.11.00.00.00.000.E.miniseed,24718
453025242.0030.2024.07.03.00.00.00.000.E.miniseed,25242
453025229.0031.2024.07.04.00.00.00.000.E.miniseed,25229
453024614.0023.2024.06.27.00.00.00.000.E.miniseed,24614
453025257.0013.2024.06.18.00.00.00.000.E.miniseed,25257
453025097.0024.2024.06.28.00.00.00.000.E.miniseed,25097
453025242.0017.2024.06.21.00.00.00.000.E.miniseed,25242
453024968.0007.2024.06.12.00.00.00.000.E.miniseed,24968
453025390.0009.2024.06.14.00.00.00.000.E.miniseed,25390
453025390.0011.2024.06.16.00.00.00.000.E.miniseed,25390
453025226.0023.2024.06.28.00.00.00.000.E.miniseed,25226
453024323.0025.2024.06.28.00.00.00.000.E.miniseed,24323
453025257.0022.2024.06.26.00.00.00.000.E.miniseed,25257
453024527.0021.2024.06.26.00.00.00.000.E.miniseed,24527
453024741.0007.2024.06.12.00.00.00.000.E.miniseed,24741
453025361.0009.2024.06.13.00.00.00.000.E.miniseed,25361
453024237.0004.2024.06.08.00.00.00.000.E.miniseed,24237
453025057.0023.2024.06.27.00.00.00.000.E.miniseed,25057
453024387.0028.2024.07.04.00.00.00.000.E.miniseed,24387
453025390.0025.2024.06.30.00.00.00.000.E.miniseed,25390
453024510.0019.2024.06.23.00.00.00.000.E.miniseed,24510
