,Site,Latitude,Longitude,Elevation,CreationDate
0,24025,60.726064,-135.071029,696.686546,2024-07-05 13:05:56
1,24237,60.751026,-135.059847,688.288932,2024-07-05 13:05:57
2,24321,60.713005,-135.108655,750.224909,2024-07-05 13:05:58
3,24323,60.741978,-135.051023,672.740509,2024-07-05 13:05:58
4,24387,60.799682,-135.194232,764.723054,2024-07-05 13:05:59
5,24446,60.685656,-134.957048,859.047589,2024-07-05 13:05:59
6,24510,60.711202,-135.137293,777.325102,2024-07-05 13:06:00
7,24527,60.709256,-135.083669,716.358966,2024-07-05 13:06:01
8,24614,60.739806,-135.084999,652.643173,2024-07-05 13:06:01
9,24625,60.709834,-135.165963,823.573628,2024-07-05 13:06:02
10,24645,60.713068,-135.026553,682.793267,2024-07-05 13:06:02
11,24702,60.751324,-135.025325,738.683337,2024-07-05 13:06:03
12,24704,60.73709,-135.141412,782.553273,2024-07-05 13:06:04
13,24708,60.768216,-135.102737,673.161806,2024-07-05 13:06:04
14,24718,60.738096,-135.112646,772.437403,2024-07-05 13:06:05
15,24741,60.730482,-135.221521,1108.676496,2024-07-05 13:06:06
16,24928,60.750197,-135.114038,729.495483,2024-07-05 13:06:06
17,24952,60.725239,-135.112675,782.702854,2024-07-05 13:06:07
18,24968,60.713232,-135.004728,730.996807,2024-07-05 13:06:08
19,25009,60.781418,-135.03402,720.683135,2024-07-05 13:06:08
20,25057,60.722348,-135.168942,820.65261,2024-07-05 13:06:08
